Green_Zone_name,area_in_h,avg_opening_hours,avg_spend_time(in min),Rating,Opening(Fulltime/Part time)
ESPAÇO JOGO E RECREIO HOMEM DO LEME,,,,,
JARDIM AFONSO DE ALBUQUERQUE,1.6,24,45,4.4,1
JARDIM ALAMEDA CIDADE UNIVERSITÁRIA,,6.25,60,,0
JARDIM ALAMEDA DOM AFONSO HENRIQUES,3,24,45,4.5,1
JARDIM AMÁLIA RODRIGUES,,24,60,4.6,1
JARDIM AMÉLIA CARVALHEIRA,,24,,3.7,1
JARDIM ANTÓNIO NOBRE,,24,,4.5,1
JARDIM AVELAR BROTERO,,24,45,4.5,1
JARDIM BASÍLIO TELES,,24,45,4.3,1
JARDIM BENTO MARTINS,,24,60,4.4,1
JARDIM BOTÂNICO LISBOA,,10,60,4,0
JARDIM BOTÂNICO PORTO,12,10,60,4.7,0
JARDIM BRAAMCAMP FREIRE,1.3,,,,
JARDIM CONSTANTINO,0.28,24,30,3.9,1
JARDIM DA BOAVISTA,3.14,24,30,4.5,1
JARDIM DA CORUJEIRA,2.35,24,30,4,1
JARDIM DA LUZ,2,8,60,4.2,0
JARDIM DA RIBEIRA DAS NAUS, ,10,40,4.2,0
JARDIM DAS AMOREIRAS,0.5,24,60,4.5,1
JARDIM DE BUCELAS,,24,,4,1
JARDIM DE LOPES DE MENDONÇA,0.47,24,45,4.1,1
JARDIM DE SANTOS,,,,,
JARDIM DE TEÓFILO BRAGA,,24,45,4.2,1
JARDIM DO ARCO DO CEGO,,24,45,4.1,1
JARDIM DO CAMPO GRANDE,,24,60,4.4,1
JARDIM DO CAMPO PEQUENO,,9,90,4.2,0
JARDIM DO PALÁCIO DA BOLSA,,,,,
JARDIM DO PALÁCIO DE BEAU-SÉJOUR,,10,,4.3,0
JARDIM DO PALÁCIO DE CRISTAL,,11,45,4.5,0
JARDIM DO PRÍNCIPE REAL,,24,45,4.5,1
JARDIM DOM LUÍS I,,24,,4.4,1
JARDIM FERNANDO PESSA,,24,60,4.4,1
JARDIM FRANCISCO CALDEIRA CABRAL,,24,60,4.4,
JARDIM FRANCISCO SÁ CARNEIRO,,,,,
JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN,,11.5,90,4.7,0
JARDIM GARCIA DORTA,,9,60,4.1,0
JARDIM IRMÃ LÚCIA,,24,,4.1,1
JARDIM JOÃO FREDERICO LUDOVICE,,,,,
JARDIM LISBOA ANTIGA,,24,,4.7,1
JARDIM NOVE DE ABRIL,,,,,
JARDIM PAULO VALLADA,,24,45,4.3,1
JARDIM PROF. ANTÓNIO SOUSA FRANCO,,24,,4.4,1
JRD. CP. VINTE E QUATRO DE AGOSTO,,,,4,
MATA DE BENFICA,,,,,
PARQUE DA CIDADE DE LOURES,,,,,
PARQUE DE SÃO ROQUE,,12,60,4.5,0
PARQUE DOS ANJOS,,,,,
PARQUE EDUARDO VII,,24,60,4.5,1
PARQUE INFANTIL CONDE DE BONFIM,,,,,
PARQUE INFANTIL DO IPO,,,,,
PARQUE INFANTIL PRAÇA DE LONDRES,,,,,
PARQUE JOSÉ FONTANA,,,,4,
PARQUE RECREATIVO ALTO DA SERAFINA,,9,60,4.5,0
PARQUE URBANO DA QUINTA DA GRANJA,,24,45,4.4,1
PARQUE URBANO DA QUINTA NOVA,,,,,
PARQUE URBANO DO CASTELINHO,,7.5,45,4.6,0
PARQUE URBANO DO SILVADO,,24,,3.9,1
PQ. INFA. JARD. MARQUÊS DE MARIALA,,,,,
PQ. INFA. JARDIM GOMES DE AMORIM,,,,,
PQ. INFANTIL AV. MARQUÊS DE TOMAR,,,,,
PQ. INFANTIL HOSPITAL DE SANTA MARIA,,,,,
PRAÇA NOVE DE ABRIL,2.12,24,,4,1
QUINTA DAS CONCHAS,,24,18,4.5,0
QUINTA DOS LILÁSES,,24,18,4.5,0
